similarity,word1,word2
0.4559843723801884,age,sex
0.05492459920123263,age,histology
0.08276560884806225,age,type
0.0,age,histology-type
0.5617237826922553,age,degree
0.0,age,of
0.0,age,diffe
0.0,age,degree-of-diffe
0.44759214650186674,age,bone
0.44759214650186674,age,bone
0.07868910304727433,age,marrow
0.0,age,bone-marrow
0.0,age,lung
0.0,age,pleura
0.0,age,peritoneum
0.0,age,liver
0.08020224444180941,age,brain
0.25912257264293775,age,skin
0.0,age,neck
0.0,age,supraclavicular
0.0,age,axillar
0.0,age,mediastinum
0.0,age,abdominal
0.4559843723801884,sex,age
0.04913755450961402,sex,histology
0.30772878848828256,sex,type
0.0,sex,histology-type
0.4741199836329346,sex,degree
0.0,sex,of
0.0,sex,diffe
0.0,sex,degree-of-diffe
0.39015054456616577,sex,bone
0.39015054456616577,sex,bone
0.08203613807590057,sex,marrow
0.0,sex,bone-marrow
0.09125206402594718,sex,lung
0.08280854198722458,sex,pleura
1.6035182299077988e-300,sex,peritoneum
0.08722673048474619,sex,liver
0.09652404871360512,sex,brain
0.30724494511756284,sex,skin
0.0960764952690299,sex,neck
0.0,sex,supraclavicular
0.0,sex,axillar
1.6035182299077988e-300,sex,mediastinum
0.08280854198722458,sex,abdominal
0.05492459920123263,histology,age
0.04913755450961402,histology,sex
0.2942710675145145,histology,type
0.0,histology,histology-type
0.05705238089170595,histology,degree
0.0,histology,of
0.0,histology,diffe
0.0,histology,degree-of-diffe
0.04849877120726556,histology,bone
0.04849877120726556,histology,bone
0.2942897627836412,histology,marrow
0.0,histology,bone-marrow
0.0,histology,lung
0.0,histology,pleura
0.0,histology,peritoneum
0.0,histology,liver
0.23944757441744027,histology,brain
0.04885240383832272,histology,skin
0.0,histology,neck
0.0,histology,supraclavicular
0.0,histology,axillar
0.0,histology,mediastinum
0.0,histology,abdominal
0.08276560884806225,type,age
0.30772878848828256,type,sex
0.2942710675145145,type,histology
0.0,type,histology-type
0.6973463694859199,type,degree
0.0,type,of
0.0,type,diffe
0.0,type,degree-of-diffe
0.1001003741382636,type,bone
0.1001003741382636,type,bone
0.4162422597294461,type,marrow
0.0,type,bone-marrow
0.08683498432703968,type,lung
0.07915470086909637,type,pleura
1.6035182299077988e-300,type,peritoneum
0.24129633076011905,type,liver
0.3405000545530552,type,brain
0.24657211172197768,type,skin
0.25328386793427116,type,neck
0.0,type,supraclavicular
0.0,type,axillar
1.6035182299077988e-300,type,mediastinum
